lon,lat,depth,strike,dip,dz1,dz2,dz3,thickness
122.32,18.47,171.46,14.15,56.66,24.07,3.48,2.85,70.39
122.31,18.45,171.46,14.13,56.48,24.02,3.48,4.84,70.36
122.31,18.43,171.46,14.18,56.28,23.95,3.48,6.84,70.33
122.30,18.41,171.46,14.31,56.08,23.86,3.48,8.84,70.30
122.29,18.39,171.46,14.52,55.88,23.74,3.48,10.84,70.27
122.29,18.37,171.46,14.80,55.67,23.61,3.47,11.36,70.24
122.28,18.35,171.46,15.16,55.47,23.45,3.47,11.13,70.20
122.28,18.33,171.46,15.60,55.26,23.28,3.47,10.92,70.17
122.27,18.32,171.46,16.10,55.07,23.10,3.47,10.72,70.13
122.26,18.30,171.46,16.67,54.88,22.90,3.47,10.55,70.10
122.26,18.28,171.46,17.30,54.71,22.68,3.47,10.41,70.06
122.25,18.26,171.46,17.98,54.55,22.46,3.46,10.29,70.02
122.24,18.24,171.46,18.70,54.41,22.23,3.46,10.20,69.98
122.24,18.22,171.46,19.47,54.28,21.99,3.46,10.14,69.94
122.23,18.20,171.46,20.26,54.17,21.74,3.46,10.12,69.90
122.22,18.18,171.46,21.06,54.09,21.49,3.46,9.75,69.85
122.21,18.16,171.46,21.89,54.02,21.24,3.45,8.67,69.80
122.20,18.14,171.46,22.71,53.97,20.99,3.45,7.63,69.75
122.20,18.12,171.46,23.53,53.94,20.75,3.45,6.63,69.70
122.19,18.10,171.46,24.34,53.93,20.50,3.44,5.66,69.65
122.18,18.08,171.46,25.13,53.94,20.27,3.44,4.73,69.60
122.17,18.06,171.46,25.89,53.96,20.04,3.44,3.83,69.54
122.16,18.04,171.46,26.62,53.99,19.81,3.44,2.97,69.48
122.15,18.02,171.46,27.32,54.04,19.60,3.43,2.13,69.42
122.13,18.00,171.46,27.98,54.09,19.40,3.43,1.34,69.35
122.12,17.98,171.46,28.60,54.16,19.21,3.43,0.57,69.28
122.11,17.96,171.46,29.17,54.23,19.03,3.42,0.28,69.22
122.10,17.94,171.46,29.69,54.30,18.87,3.42,0.02,69.14
122.09,17.93,171.46,30.17,54.38,18.71,3.41,-0.22,69.07
122.08,17.91,171.46,30.60,54.45,18.57,3.41,-0.44,68.99
122.06,17.89,171.46,30.98,54.53,18.45,3.41,-0.63,68.91
122.05,17.87,171.46,31.31,54.60,18.33,3.40,-0.81,68.83
122.04,17.85,171.46,31.59,54.68,18.23,3.40,-0.97,68.74
122.03,17.83,171.46,31.83,54.74,18.14,3.39,-1.12,68.65
122.01,17.81,171.46,32.02,54.80,18.07,3.39,-1.26,68.56
122.00,17.79,171.46,32.17,54.86,18.00,3.38,-1.39,68.46
121.99,17.77,171.46,32.28,54.91,17.94,3.38,-1.61,68.36
121.97,17.75,171.46,32.35,54.95,17.90,3.37,-1.88,68.26
121.96,17.73,171.46,32.38,54.99,17.86,3.37,-2.14,68.15
121.95,17.71,171.46,32.37,55.02,17.82,3.36,-2.40,68.04
121.93,17.69,171.46,32.34,55.05,17.80,3.36,-2.67,67.92
121.92,17.67,171.46,32.27,55.06,17.78,3.35,-2.94,67.80
121.91,17.66,171.46,32.18,55.08,17.76,3.35,-3.21,67.67
121.90,17.64,171.46,32.06,55.08,17.75,3.34,-3.48,67.54
121.88,17.62,171.46,31.92,55.08,17.73,3.33,-3.77,67.41
121.87,17.60,171.46,31.76,55.08,17.72,3.33,-4.06,67.26
121.86,17.58,171.46,31.59,55.07,17.70,3.32,-4.21,67.12
121.84,17.56,171.46,31.40,55.06,17.69,3.31,-4.07,66.97
121.83,17.54,171.46,31.20,55.05,17.67,3.31,-3.94,66.81
121.82,17.52,171.46,30.99,55.03,17.64,3.30,-3.81,66.65
121.81,17.50,171.46,30.78,55.01,17.62,3.29,-3.70,66.48
121.79,17.48,171.46,30.56,55.00,17.58,3.28,-3.60,66.30
121.78,17.46,171.46,30.34,54.98,17.54,3.27,-3.52,66.12
121.77,17.44,171.46,30.11,54.96,17.49,3.26,-3.44,65.94
121.76,17.42,171.46,29.89,54.95,17.44,3.25,-3.37,65.75
121.75,17.40,171.46,29.66,54.93,17.38,3.25,-3.32,65.55
121.73,17.39,171.46,29.44,54.92,17.31,3.24,-3.27,65.35
121.72,17.37,171.46,29.23,54.91,17.24,3.23,-2.97,65.15
121.71,17.35,171.46,29.02,54.91,17.16,3.22,-2.67,64.94
121.70,17.33,171.46,28.81,54.91,17.07,3.21,-2.39,64.73
121.69,17.31,171.46,28.61,54.91,16.97,3.20,-2.12,64.51
121.68,17.29,171.46,28.41,54.92,16.87,3.18,-1.85,64.29
121.67,17.27,171.46,28.22,54.94,16.76,3.17,-1.60,64.07
121.66,17.25,171.46,28.03,54.95,16.65,3.16,-1.35,63.85
121.64,17.23,171.46,27.85,54.98,16.54,3.15,-1.11,63.63
121.63,17.21,171.46,27.67,55.00,16.42,3.14,-0.89,63.40
121.62,17.19,171.46,27.50,55.04,16.30,3.13,-0.67,63.17
121.61,17.17,171.46,27.33,55.08,16.17,3.12,-0.69,62.95
121.60,17.15,171.46,27.16,55.12,16.05,3.11,-0.83,62.72
121.59,17.13,171.46,26.99,55.17,15.93,3.10,-0.99,62.49
121.58,17.11,171.46,26.82,55.22,15.81,3.09,-1.15,62.27
121.57,17.09,171.46,26.65,55.27,15.69,3.08,-1.32,62.05
121.56,17.07,171.46,26.48,55.33,15.58,3.06,-1.49,61.83
121.55,17.06,171.46,26.30,55.39,15.47,3.05,-1.68,61.61
121.54,17.04,171.46,26.13,55.46,15.36,3.04,-1.87,61.40
121.53,17.02,171.46,25.95,55.53,15.26,3.03,-2.07,61.19
121.52,17.00,171.46,25.76,55.60,15.17,3.02,-2.28,60.98
121.51,16.98,171.46,25.57,55.67,15.09,3.01,-2.36,60.78
121.50,16.96,171.46,25.37,55.75,15.02,3.00,-2.17,60.59
121.49,16.94,171.46,25.17,55.82,14.96,2.99,-1.99,60.39
121.48,16.92,171.46,24.96,55.90,14.91,2.98,-1.82,60.21
121.47,16.90,171.46,24.75,55.98,14.87,2.98,-1.66,60.02
121.46,16.88,171.46,24.53,56.06,14.84,2.97,-1.51,59.85
121.45,16.86,171.46,24.30,56.14,14.83,2.96,-1.37,59.68
